Product Name,Category,Sub-Category,Total_Orders,Total_Returns,Avg_Risk_Score,Risk_Level
"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Office Supplies,Binders,6,0,0.049639919,Low
Acco Glide Clips,Office Supplies,Fasteners,1,0,0.042203537,Low
Acco Hanging Data Binders,Office Supplies,Binders,7,1,0.044566978,Low
"Acco Hole Reinforcements, Clear",Office Supplies,Binders,37,3,0.04177747,Low
"Acco Hole Reinforcements, Durable",Office Supplies,Binders,36,0,0.042330391,Low
"Acco Hole Reinforcements, Economy",Office Supplies,Binders,33,2,0.041647571,Low
"Acco Hole Reinforcements, Recycled",Office Supplies,Binders,36,3,0.041974397,Low
Acco Hot Clips Clips to Go,Office Supplies,Fasteners,6,0,0.038102927,Low
"Acco Index Tab, Clear",Office Supplies,Binders,75,3,0.043115151,Low
"Acco Index Tab, Durable",Office Supplies,Binders,39,2,0.041210392,Low
"Acco Index Tab, Economy",Office Supplies,Binders,36,2,0.041583376,Low
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders,7,0,0.049015099,Low
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Office Supplies,Binders,4,0,0.048340744,Low
"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",Office Supplies,Binders,5,0,0.049212592,Low
Acco Perma 2700 Stacking Storage Drawers,Office Supplies,Storage,4,0,0.042955573,Low
Acco Perma 3000 Stacking Storage Drawers,Office Supplies,Storage,6,0,0.048521155,Low
Acco Perma 4000 Stacking Storage Drawers,Office Supplies,Storage,11,1,0.046549186,Low
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",Office Supplies,Binders,5,0,0.046655732,Low
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,8,0,0.04784241,Low
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Office Supplies,Binders,11,0,0.049257678,Low
"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Office Supplies,Binders,9,1,0.049611335,Low
"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",Office Supplies,Binders,4,0,0.050346431,Low
Acco Side-Punched Conventional Columnar Pads,Office Supplies,Supplies,4,0,0.050784806,Low
"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,9,1,0.03816152,Low
Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,Office Supplies,Appliances,4,0,0.040921657,Low
"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",Office Supplies,Appliances,3,0,0.037235783,Low
Acco Suede Grain Vinyl Round Ring Binder,Office Supplies,Binders,8,0,0.050040293,Low
Acco Translucent Poly Ring Binders,Office Supplies,Binders,8,0,0.049055001,Low
Accohide Poly Flexible Ring Binders,Office Supplies,Binders,8,3,0.05075212,Low
"Accos Clamps, 12 Pack",Office Supplies,Fasteners,16,0,0.037778504,Low
"Accos Clamps, Assorted Sizes",Office Supplies,Fasteners,14,0,0.033610663,Low
"Accos Clamps, Bulk Pack",Office Supplies,Fasteners,22,0,0.034557172,Low
"Accos Clamps, Metal",Office Supplies,Fasteners,16,2,0.037246429,Low
"Accos Paper Clips, Assorted Sizes",Office Supplies,Fasteners,38,0,0.033960321,Low
"Accos Paper Clips, Bulk Pack",Office Supplies,Fasteners,15,0,0.034633925,Low
"Accos Paper Clips, Metal",Office Supplies,Fasteners,15,0,0.035106623,Low
"Accos Push Pins, 12 Pack",Office Supplies,Fasteners,13,0,0.034310371,Low
"Accos Push Pins, Assorted Sizes",Office Supplies,Fasteners,19,1,0.035319822,Low
"Accos Push Pins, Bulk Pack",Office Supplies,Fasteners,18,0,0.035220733,Low
"Accos Push Pins, Metal",Office Supplies,Fasteners,18,1,0.035749994,Low
"Accos Rubber Bands, 12 Pack",Office Supplies,Fasteners,16,0,0.035874906,Low
"Accos Rubber Bands, Assorted Sizes",Office Supplies,Fasteners,14,0,0.033160949,Low
"Accos Rubber Bands, Bulk Pack",Office Supplies,Fasteners,15,1,0.035768178,Low
"Accos Rubber Bands, Metal",Office Supplies,Fasteners,21,0,0.035472006,Low
"Accos Staples, 12 Pack",Office Supplies,Fasteners,20,0,0.035211765,Low
"Accos Staples, Assorted Sizes",Office Supplies,Fasteners,22,1,0.037063663,Low
"Accos Staples, Bulk Pack",Office Supplies,Fasteners,13,2,0.037385373,Low
"Accos Staples, Metal",Office Supplies,Fasteners,17,0,0.037014761,Low
"Accos Thumb Tacks, 12 Pack",Office Supplies,Fasteners,18,0,0.033326072,Low
"Accos Thumb Tacks, Assorted Sizes",Office Supplies,Fasteners,21,0,0.036514833,Low
"Accos Thumb Tacks, Bulk Pack",Office Supplies,Fasteners,15,1,0.036456941,Low
"Accos Thumb Tacks, Metal",Office Supplies,Fasteners,11,0,0.035045351,Low
"Acme 10"" Easy Grip Assistive Scissors",Office Supplies,Supplies,8,0,0.049266495,Low
Acme Box Cutter Scissors,Office Supplies,Supplies,6,0,0.05039526,Low
"Acme Box Cutter, Easy Grip",Office Supplies,Supplies,20,0,0.045637619,Low
"Acme Box Cutter, High Speed",Office Supplies,Supplies,19,1,0.045387034,Low
"Acme Box Cutter, Serrated",Office Supplies,Supplies,18,0,0.0458095,Low
"Acme Box Cutter, Steel",Office Supplies,Supplies,13,0,0.045829452,Low
"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Office Supplies,Supplies,3,0,0.050359481,Low
Acme Design Stainless Steel Bent Scissors,Office Supplies,Supplies,3,0,0.048702389,Low
Acme Elite Stainless Steel Scissors,Office Supplies,Supplies,5,0,0.051598263,Low
Acme Forged Steel Scissors with Black Enamel Handles,Office Supplies,Supplies,8,0,0.049982769,Low
Acme Galleria Hot Forged Steel Scissors with Colored Handles,Office Supplies,Supplies,3,0,0.048329799,Low
"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Office Supplies,Supplies,7,0,0.053043635,Low
Acme Kleen Earth Office Shears,Office Supplies,Supplies,5,0,0.048527828,Low
Acme Kleencut Forged Steel Scissors,Office Supplies,Supplies,3,0,0.051550167,Low
"Acme Letter Opener, Easy Grip",Office Supplies,Supplies,24,2,0.046422098,Low
"Acme Letter Opener, High Speed",Office Supplies,Supplies,9,0,0.041148163,Low
"Acme Letter Opener, Serrated",Office Supplies,Supplies,19,2,0.045228561,Low
"Acme Letter Opener, Steel",Office Supplies,Supplies,28,1,0.046289991,Low
Acme Office Executive Series Stainless Steel Trimmers,Office Supplies,Supplies,7,0,0.050333365,Low
Acme Preferred Stainless Steel Scissors,Office Supplies,Supplies,4,0,0.04885955,Low
Acme Rosewood Handle Letter Opener,Office Supplies,Supplies,3,0,0.052312508,Low
"Acme Ruler, Easy Grip",Office Supplies,Supplies,16,3,0.048396814,Low
"Acme Ruler, High Speed",Office Supplies,Supplies,18,0,0.046012467,Low
"Acme Ruler, Serrated",Office Supplies,Supplies,13,1,0.045031792,Low
"Acme Ruler, Steel",Office Supplies,Supplies,17,1,0.043266811,Low
"Acme Scissors, Easy Grip",Office Supplies,Supplies,20,0,0.044604011,Low
"Acme Scissors, High Speed",Office Supplies,Supplies,20,0,0.044832242,Low
"Acme Scissors, Serrated",Office Supplies,Supplies,28,2,0.043510168,Low
"Acme Scissors, Steel",Office Supplies,Supplies,17,0,0.046869224,Low
Acme Serrated Blade Letter Opener,Office Supplies,Supplies,2,0,0.050796739,Low
"Acme Shears, Easy Grip",Office Supplies,Supplies,21,1,0.04718791,Low
"Acme Shears, High Speed",Office Supplies,Supplies,15,0,0.043981978,Low
"Acme Shears, Serrated",Office Supplies,Supplies,20,3,0.047451912,Low
"Acme Shears, Steel",Office Supplies,Supplies,14,0,0.045932478,Low
Acme Softgrip Scissors,Office Supplies,Supplies,4,1,0.05146108,Low
Acme Stainless Steel Office Snips,Office Supplies,Supplies,4,0,0.04907395,Low
Acme Tagit Stainless Steel Antibacterial Scissors,Office Supplies,Supplies,6,1,0.051147582,Low
Acme Titanium Bonded Scissors,Office Supplies,Supplies,5,0,0.04785896,Low
"Acme Trimmer, Easy Grip",Office Supplies,Supplies,20,0,0.046386747,Low
"Acme Trimmer, High Speed",Office Supplies,Supplies,20,0,0.04626486,Low
"Acme Trimmer, Serrated",Office Supplies,Supplies,21,1,0.045419022,Low
"Acme Trimmer, Steel",Office Supplies,Supplies,29,0,0.046514633,Low
Acme Value Line Scissors,Office Supplies,Supplies,10,1,0.048513628,Low
Acrylic Self-Standing Desk Frames,Furniture,Furnishings,8,0,0.050233456,Low
"Adams ""While You Were Out"" Message Pads",Office Supplies,Paper,5,1,0.044493849,Low
"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",Office Supplies,Paper,8,0,0.047179779,Low
"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Office Supplies,Paper,3,0,0.049910995,Low
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",Office Supplies,Paper,7,1,0.043017731,Low
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Office Supplies,Paper,10,0,0.043880351,Low
"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Paper,7,0,0.045197427,Low
"Adams Telephone Message Books, 5 1/4” x 11”",Office Supplies,Paper,5,0,0.046029051,Low
"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Office Supplies,Paper,3,0,0.046854608,Low
Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,11,1,0.044670954,Low
Adjustable Personal File Tote,Office Supplies,Storage,5,0,0.044103091,Low
Adtran 1202752G1,Technology,Phones,5,1,0.053538529,Low
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,4,0,0.046391259,Low
"Advantus Clamps, 12 Pack",Office Supplies,Fasteners,19,0,0.03467252,Low
"Advantus Clamps, Assorted Sizes",Office Supplies,Fasteners,26,0,0.035264825,Low
"Advantus Clamps, Bulk Pack",Office Supplies,Fasteners,15,0,0.034585879,Low
"Advantus Clamps, Metal",Office Supplies,Fasteners,19,3,0.036905902,Low
"Advantus Clock, Black",Furniture,Furnishings,19,0,0.044745331,Low
"Advantus Clock, Duo Pack",Furniture,Furnishings,18,2,0.04338795,Low
"Advantus Clock, Durable",Furniture,Furnishings,17,0,0.046437123,Low
"Advantus Clock, Erganomic",Furniture,Furnishings,9,0,0.044733161,Low
"Advantus Door Stop, Black",Furniture,Furnishings,22,2,0.044944024,Low
"Advantus Door Stop, Duo Pack",Furniture,Furnishings,15,2,0.047697613,Low
"Advantus Door Stop, Durable",Furniture,Furnishings,22,0,0.045612124,Low
"Advantus Door Stop, Erganomic",Furniture,Furnishings,29,0,0.044691381,Low
"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Furniture,Furnishings,5,0,0.046400568,Low
"Advantus Frame, Black",Furniture,Furnishings,18,2,0.044094746,Low
"Advantus Frame, Duo Pack",Furniture,Furnishings,15,0,0.046093705,Low
"Advantus Frame, Durable",Furniture,Furnishings,22,2,0.043882342,Low
"Advantus Frame, Erganomic",Furniture,Furnishings,20,1,0.044811075,Low
"Advantus Light Bulb, Black",Furniture,Furnishings,25,1,0.047663843,Low
"Advantus Light Bulb, Duo Pack",Furniture,Furnishings,20,1,0.044710233,Low
"Advantus Light Bulb, Durable",Furniture,Furnishings,21,0,0.043293784,Low
"Advantus Light Bulb, Erganomic",Furniture,Furnishings,18,1,0.04612156,Low
Advantus Map Pennant Flags and Round Head Tacks,Office Supplies,Fasteners,6,0,0.039551518,Low
Advantus Motivational Note Cards,Office Supplies,Paper,5,0,0.046418839,Low
Advantus Panel Wall Acrylic Frame,Furniture,Furnishings,5,0,0.050036497,Low
Advantus Panel Wall Certificate Holder - 8.5x11,Furniture,Furnishings,6,0,0.047427367,Low
"Advantus Paper Clips, Assorted Sizes",Office Supplies,Fasteners,47,3,0.035192714,Low
"Advantus Paper Clips, Bulk Pack",Office Supplies,Fasteners,18,0,0.036030183,Low
"Advantus Paper Clips, Metal",Office Supplies,Fasteners,17,2,0.034117464,Low
"Advantus Photo Frame, Black",Furniture,Furnishings,21,0,0.045804844,Low
"Advantus Photo Frame, Duo Pack",Furniture,Furnishings,24,3,0.044687063,Low
"Advantus Photo Frame, Durable",Furniture,Furnishings,16,1,0.044462493,Low
"Advantus Photo Frame, Erganomic",Furniture,Furnishings,22,0,0.04435918,Low
Advantus Plastic Paper Clips,Office Supplies,Fasteners,10,1,0.037384216,Low
Advantus Push Pins,Office Supplies,Fasteners,7,1,0.039427186,Low
"Advantus Push Pins, 12 Pack",Office Supplies,Fasteners,17,3,0.034856234,Low
"Advantus Push Pins, Aluminum Head",Office Supplies,Fasteners,5,0,0.039605514,Low
"Advantus Push Pins, Assorted Sizes",Office Supplies,Fasteners,19,0,0.034876302,Low
"Advantus Push Pins, Bulk Pack",Office Supplies,Fasteners,11,1,0.033877825,Low
"Advantus Push Pins, Metal",Office Supplies,Fasteners,12,1,0.036355932,Low
Advantus Rolling Drawer Organizers,Office Supplies,Storage,6,0,0.043363088,Low
Advantus Rolling Storage Box,Office Supplies,Storage,10,0,0.04659597,Low
"Advantus Rubber Bands, 12 Pack",Office Supplies,Fasteners,19,1,0.032802056,Low
"Advantus Rubber Bands, Assorted Sizes",Office Supplies,Fasteners,17,1,0.034628925,Low
"Advantus Rubber Bands, Bulk Pack",Office Supplies,Fasteners,20,0,0.034460704,Low
"Advantus Rubber Bands, Metal",Office Supplies,Fasteners,21,1,0.03735383,Low
Advantus SlideClip Paper Clips,Office Supplies,Fasteners,3,2,0.033775034,Low
"Advantus Stacking Tray, Black",Furniture,Furnishings,21,1,0.045166522,Low
"Advantus Stacking Tray, Durable",Furniture,Furnishings,16,0,0.042619779,Low
"Advantus Stacking Tray, Erganomic",Furniture,Furnishings,36,1,0.045482983,Low
"Advantus Staples, 12 Pack",Office Supplies,Fasteners,16,0,0.035776691,Low
"Advantus Staples, Assorted Sizes",Office Supplies,Fasteners,19,1,0.037689284,Low
"Advantus Staples, Bulk Pack",Office Supplies,Fasteners,17,1,0.035995655,Low
"Advantus Staples, Metal",Office Supplies,Fasteners,22,1,0.035104808,Low
Advantus T-Pin Paper Clips,Office Supplies,Fasteners,5,1,0.037717733,Low
"Advantus Thumb Tacks, 12 Pack",Office Supplies,Fasteners,18,1,0.037057751,Low
"Advantus Thumb Tacks, Assorted Sizes",Office Supplies,Fasteners,18,0,0.032723106,Low
"Advantus Thumb Tacks, Bulk Pack",Office Supplies,Fasteners,23,2,0.035472006,Low
"Advantus Thumb Tacks, Metal",Office Supplies,Fasteners,16,1,0.034920542,Low
Airmail Envelopes,Office Supplies,Envelopes,6,0,0.046681619,Low
Akro Stacking Bins,Office Supplies,Storage,6,0,0.050209869,Low
Akro-Mils 12-Gallon Tote,Office Supplies,Storage,4,0,0.045874797,Low
"Alliance Big Bands Rubber Bands, 12/Pack",Office Supplies,Fasteners,4,0,0.03884633,Low
Alliance Rubber Bands,Office Supplies,Fasteners,2,0,0.040960871,Low
"Alliance Super-Size Bands, Assorted Sizes",Office Supplies,Fasteners,4,0,0.037231352,Low
Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,9,0,0.0566467,Low
Aluminum Document Frame,Furniture,Furnishings,5,0,0.047925717,Low
Aluminum Screw Posts,Office Supplies,Binders,11,0,0.046418999,Low
AmazonBasics 3-Button USB Wired Mouse,Technology,Accessories,5,0,0.046483267,Low
American Pencil,Office Supplies,Art,6,0,0.052216883,Low
"Ames Business Envelopes, Recycled",Office Supplies,Envelopes,30,1,0.039972173,Low
"Ames Business Envelopes, Security-Tint",Office Supplies,Envelopes,20,3,0.041813342,Low
"Ames Business Envelopes, Set of 50",Office Supplies,Envelopes,15,0,0.041194101,Low
"Ames Clasp Envelope, Recycled",Office Supplies,Envelopes,14,1,0.039095758,Low
"Ames Clasp Envelope, Security-Tint",Office Supplies,Envelopes,21,0,0.040855028,Low
"Ames Clasp Envelope, Set of 50",Office Supplies,Envelopes,19,0,0.039925179,Low
"Ames Clasp Envelope, with clear poly window",Office Supplies,Envelopes,16,0,0.042447056,Low
Ames Color-File Green Diamond Border X-ray Mailers,Office Supplies,Envelopes,4,0,0.047704036,Low
"Ames Interoffice Envelope, Recycled",Office Supplies,Envelopes,14,2,0.04489717,Low
"Ames Interoffice Envelope, Security-Tint",Office Supplies,Envelopes,18,2,0.041217134,Low
"Ames Interoffice Envelope, Set of 50",Office Supplies,Envelopes,10,0,0.044536306,Low
"Ames Interoffice Envelope, with clear poly window",Office Supplies,Envelopes,19,2,0.042153588,Low
"Ames Mailers, Recycled",Office Supplies,Envelopes,23,1,0.040403598,Low
"Ames Mailers, Security-Tint",Office Supplies,Envelopes,15,0,0.04315291,Low
"Ames Mailers, Set of 50",Office Supplies,Envelopes,16,1,0.041727411,Low
"Ames Mailers, with clear poly window",Office Supplies,Envelopes,18,1,0.041266738,Low
"Ames Manila Envelope, Recycled",Office Supplies,Envelopes,14,1,0.041710667,Low
"Ames Manila Envelope, Security-Tint",Office Supplies,Envelopes,27,0,0.043630106,Low
"Ames Manila Envelope, Set of 50",Office Supplies,Envelopes,17,0,0.042117343,Low
"Ames Manila Envelope, with clear poly window",Office Supplies,Envelopes,12,0,0.045515666,Low
"Ames Peel and Seal, Recycled",Office Supplies,Envelopes,26,0,0.04114378,Low
"Ames Peel and Seal, Security-Tint",Office Supplies,Envelopes,17,0,0.041644968,Low
"Ames Peel and Seal, Set of 50",Office Supplies,Envelopes,26,1,0.042025332,Low
"Ames Peel and Seal, with clear poly window",Office Supplies,Envelopes,18,0,0.043378319,Low
Ampad #10 Peel & Seel Holiday Envelopes,Office Supplies,Envelopes,3,0,0.046410817,Low
"Ampad Evidence Wirebond Steno Books, 6"" x 9""",Office Supplies,Paper,4,0,0.048748715,Low
"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Office Supplies,Paper,8,1,0.044621496,Low
"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",Office Supplies,Paper,5,0,0.050474215,Low
"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",Office Supplies,Paper,4,0,0.043435706,Low
Anderson Hickey Conga Table Tops & Accessories,Furniture,Tables,2,0,0.049427303,Low
"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Binders,10,2,0.04609958,Low
Angle-D Ring Binders,Office Supplies,Binders,6,0,0.050560111,Low
Anker 24W Portable Micro USB Car Charger,Technology,Phones,2,0,0.050488134,Low
Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,Phones,6,1,0.051355389,Low
Anker Astro 15000mAh USB Portable Charger,Technology,Phones,5,0,0.049018799,Low
Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,Technology,Phones,4,1,0.05356866,Low
Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,Technology,Accessories,5,1,0.045500278,Low
Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ,Technology,Accessories,4,0,0.049669986,Low
"Apple Audio Dock, Cordless",Technology,Phones,13,1,0.048321591,Low
"Apple Audio Dock, Full Size",Technology,Phones,22,0,0.046154673,Low
"Apple Audio Dock, VoIP",Technology,Phones,23,1,0.045867407,Low
"Apple Audio Dock, with Caller ID",Technology,Phones,26,0,0.044381111,Low
Apple EarPods with Remote and Mic,Technology,Phones,4,0,0.046451115,Low
"Apple Headset, Cordless",Technology,Phones,25,1,0.045005791,Low
"Apple Headset, Full Size",Technology,Phones,28,3,0.044526547,Low
"Apple Headset, VoIP",Technology,Phones,23,1,0.047042298,Low
"Apple Headset, with Caller ID",Technology,Phones,24,0,0.045229193,Low
"Apple Office Telephone, Cordless",Technology,Phones,27,1,0.047514566,Low
"Apple Office Telephone, Full Size",Technology,Phones,21,1,0.045992201,Low
"Apple Office Telephone, VoIP",Technology,Phones,24,2,0.045487957,Low
"Apple Office Telephone, with Caller ID",Technology,Phones,26,1,0.04507592,Low
"Apple Signal Booster, Cordless",Technology,Phones,27,1,0.04514629,Low
"Apple Signal Booster, Full Size",Technology,Phones,22,0,0.045148465,Low
"Apple Signal Booster, VoIP",Technology,Phones,15,0,0.044379305,Low
"Apple Signal Booster, with Caller ID",Technology,Phones,23,1,0.046684994,Low
"Apple Smart Phone, Cordless",Technology,Phones,20,2,0.045933539,Low
"Apple Smart Phone, Full Size",Technology,Phones,51,2,0.043622836,Low
"Apple Smart Phone, with Caller ID",Technology,Phones,9,0,0.045499796,Low
